osm_id,network_id
27480,{'125068'}
24280,{'549409'}
23481,set()
13423,{'269372'}
10336,{'310619'}
5046,set()
14477,{'154707'}
2594,set()
20204,{'223439'}
245,set()
22688,set()
27093,set()
20498,set()
1638,{'110814'}
16514,{'15971'}
28651,{'516378'}
20971,set()
4970,{'282408'}
21937,{'91999'}
12772,"{'553769', '309153'}"
22457,{'205508'}
11547,{'125068'}
5242,set()
7534,set()
19464,set()
21598,{'483485'}
9994,{'459907'}
20601,{'552103'}
12658,{'570603'}
5574,set()
1368,{'216306'}
21873,set()
27607,set()
5322,set()
2449,{'543527'}
14373,{'421159'}
23318,set()
6694,{'205446'}
850,{'269372'}
23661,{'553947'}
11560,{'570603'}
18970,{'73649'}
18294,set()
23584,set()
9194,{'272908'}
17714,{'514613'}
22389,{'571664'}
21570,{'343793'}
5864,{'558431'}
15539,set()
21150,{'410520'}
23424,set()
9874,{'424519'}
2837,set()
11810,{'83980'}
27886,{'95537'}
3424,set()
19134,{'516474'}
4299,{'480822'}
17764,{'514613'}
21132,{'289581'}
24622,{'103294'}
20310,set()
13205,{'552999'}
26179,{'291710'}
25966,{'251814'}
4096,set()
22648,"{'69900', '277999'}"
23838,set()
29175,{'308920'}
12472,{'297114'}
28118,{'385491'}
18211,{'558313'}
5689,{'308896'}
23300,{'80931'}
16064,{'533575'}
3143,set()
4969,{'282408'}
5185,{'284793'}
27531,set()
6869,set()
23305,set()
21422,{'50418'}
1253,set()
14407,set()
3788,set()
6798,{'548642'}
15016,set()
3085,set()
164,{'224322'}
22120,{'558418'}
23354,{'459933'}
19980,{'467689'}
9739,{'543527'}
26368,{'545959'}
11101,{'571029'}
24371,set()
28101,"{'385491', '42654'}"
21895,set()
11830,{'125068'}
23366,{'64934'}
16968,{'420070'}
26947,{'461589'}
8111,set()
3216,{'440661'}
4149,{'551114'}
11003,{'21961'}
12214,set()
10919,{'95537'}
26503,{'441039'}
9892,{'424200'}
11898,"{'227498', '121974'}"
4891,set()
24483,set()
25225,set()
23025,{'64934'}
13068,{'440859'}
1800,{'484560'}
9964,{'105710'}
25189,set()
9009,{'556341'}
8379,set()
7629,{'24099'}
3856,set()
28779,{'282408'}
25274,{'459543'}
7640,{'516474'}
12552,set()
28006,set()
11381,set()
26061,{'254477'}
2382,{'557526'}
3018,{'285673'}
13582,set()
4727,set()
17569,set()
10698,{'317315'}
619,set()
23527,{'395807'}
13267,{'252027'}
11630,set()
1272,{'91497'}
4565,set()
21679,set()
3981,{'548642'}
7325,set()
24820,{'252153'}
